Species,Plot,CollectionDate,Sex,Weight (g)
DM,4,19780108,F,37
DM,4,19780108,M,NA
DM,4,19780108,F,48
DO,4,19780108,M,52
OL,4,19780108,M,35
DM,2,20130716,F,NA
DM,7,20130716,M,33
DM,3,20130716,M,NA
DM,1,20130716,M,NA
DM,3,20130718,M,40
DM,7,20130718,M,48
DM,4,20130718,F,29
DM,6,20130718,F,37
DO,8,20130819,F,52
DO,3,20131017,F,33
DO,3,20131017,F,50
DS,9,20131112,F,117
DS,11,20131113,F,126
DS,17,20131113,M,NA
DS,14,20131113,F,NA
DS,11,20131113,F,122
DS,4,20131113,F,107
DS,4,20131113,F,115
DO,9,20131210,F,40
DO,1,20131210,M,45
DO,8,20131211,F,41
NA,2,20140108,NA,NA
DM,2,20140108,M,44
PF,2,20140108,F,7
DM,2,20140108,M,45
OT,2,20140108,NA,NA
DS,2,20140108,M,NA
OX,2,20140108,NA,NA
DM,1,20140109,M,40
DM,1,20140109,F,36
NA,2,20140218,M,NA
PF,2,20140218,F,7
DM,2,20140218,M,52
DM,1,20140313,F,51
DM,1,20140313,F,44
DS,1,20140313,F,146
NA,3,20140408,F,NA
NA,3,20140506,NA,NA
NA,3,20140518,F,182
OT,3,20140609,F,29
NA,3,20140708,F,115
NA,3,20140708,M,190
PF,3,20141103,M,8
,,,,
